X,Y,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,weight
10.6601990044192,53.8790304570482,5472,1,0,3,0,2018,7,16,2,3,4,6,0,1,0,0,0,0,0,0,609135.903,5971340.039,40
10.6804456737024,53.8565225859812,5475,1,0,3,0,2018,9,10,7,2,2,3,0,1,1,0,1,0,0,0,610526.064,5968867.5337,70
10.6757798382068,53.8588588520832,5488,1,0,3,0,2018,9,8,2,2,7,7,0,0,0,1,1,0,0,0,610213.0696,5969120.1681,70
10.7120715136691,53.8149103631974,5495,1,0,3,0,2018,8,7,4,3,4,6,0,0,1,0,0,0,0,0,612717.6729,5964288.2314,40
10.6723804193746,53.8686042587512,5506,1,0,3,0,2018,7,15,4,3,2,6,0,0,1,0,0,0,0,0,609963.9519,5970199.0052,40
10.6572462607557,53.8424974385596,5511,1,0,3,0,2018,9,5,5,3,5,3,2,1,1,0,0,0,0,0,609036.775,5967271.4291,40
10.7090097908158,53.8819163261167,5512,1,0,3,0,2018,9,15,4,3,5,3,0,1,1,0,0,0,0,0,612336.537,5971737.2934,40
10.6310888857159,53.8660390944504,5542,1,0,3,0,2018,9,7,4,2,3,6,0,0,1,0,0,0,0,0,607255.7003,5969850.4171,70
10.667169075479,53.8865890467352,5577,1,0,3,0,2018,10,14,6,3,2,6,0,0,1,0,0,0,0,0,609574.2827,5972191.6354,40
10.6785223068928,53.8778056117503,5592,1,0,3,0,2018,7,17,4,3,0,2,0,1,1,0,0,0,0,0,610343.5363,5971232.1367,40
10.7380326626925,53.8517587668149,5604,1,0,3,0,2018,9,18,5,3,0,7,0,1,0,0,0,0,0,0,614326.3064,5968428.8599,40
10.6864340829689,53.8388482363371,5625,1,0,3,0,2018,9,18,3,3,2,6,0,0,1,0,0,0,0,0,610966.6402,5966910.7328,40
10.6555401777013,53.8400625300233,5632,1,0,3,0,2018,9,16,3,3,2,6,0,0,1,0,0,0,0,0,608930.8554,5966997.9409,40
10.6702082137092,53.8914076842081,5634,1,0,3,0,2018,7,14,2,3,2,6,0,0,1,0,0,0,0,0,609761.3846,5972732.3805,40
10.6734249894671,53.8677519326872,5651,1,0,3,0,2018,8,11,6,3,5,2,0,1,1,0,0,0,0,1,610034.8668,5970105.8094,40
10.7133016552117,53.8637641615021,5662,1,0,3,0,2018,8,15,3,3,5,3,0,0,1,0,0,0,0,0,612667.4103,5969724.8,40
10.6814435360947,53.8506312543786,5669,1,0,3,0,2018,8,9,5,3,5,3,0,0,1,0,0,0,0,0,610607.2249,5968213.7183,40
10.7181546413424,53.8642405717907,5677,1,0,3,0,2018,8,14,4,3,2,6,0,0,1,0,0,0,0,0,612985.2317,5969785.5168,40
10.7096773835686,53.8633969412336,5684,1,0,3,0,2018,8,16,2,3,5,2,0,0,1,0,1,0,0,0,612430.083,5969678.1985,40
10.6820927416299,53.8512447088789,5688,1,0,3,0,2018,9,5,5,3,2,2,2,0,1,0,0,0,0,0,610648.3084,5968282.9733,40
10.7115557598223,53.8635783584818,5717,1,0,3,0,2018,10,13,2,3,5,2,0,1,1,0,0,0,0,0,612553.1087,5969701.3589,40
10.7529602155612,53.8731388461806,5726,1,0,3,0,2018,9,7,3,3,2,2,0,0,1,0,0,0,0,0,615249.3511,5970831.3852,40
10.6823749933979,53.8851460839402,5737,1,0,3,0,2018,9,11,7,3,5,3,0,0,1,0,0,0,0,0,610577.4096,5972054.7192,40
10.7114548740303,53.8635964925328,5742,1,0,3,0,2018,9,7,3,3,5,2,1,1,1,0,0,0,0,0,612546.4263,5969703.2161,40
10.6727084376403,53.8682152043928,5745,1,0,3,0,2018,8,15,6,3,0,1,0,0,0,0,1,0,0,0,609986.539,5970156.234,40
10.7123341116767,53.8366147983237,5748,1,0,3,0,2018,9,17,7,3,5,7,0,0,1,0,1,0,0,1,612676.6949,5966703.0975,40
10.7219374436369,53.8633086398882,5753,1,0,3,0,2018,8,15,4,3,0,6,0,0,0,0,0,0,1,0,613236.4817,5969687.8786,40
10.6794457854325,53.8568913071608,5756,1,0,3,0,2018,7,11,1,3,3,6,0,0,1,0,0,0,0,0,610459.334,5968906.994,40
10.8613428143789,53.9587374514704,5758,1,0,3,0,2018,7,12,7,3,0,1,0,1,0,0,0,0,0,0,622124.2032,5980535.0313,40
10.6663967309692,53.8731377287289,5788,1,0,3,0,2018,8,7,3,3,3,6,0,1,1,0,0,0,0,0,609558.6902,5970694.0649,40
10.6621958706113,53.8691494380405,5802,1,0,3,0,2018,8,23,7,3,8,1,2,1,0,0,0,0,0,0,609292.9236,5970243.9109,40
10.6939294111752,53.8607404341817,5803,1,0,3,0,2018,7,8,1,3,5,3,0,1,1,0,0,0,0,0,611401.6308,5969357.8334,40
10.6696956370524,53.870274436007,5811,1,0,3,0,2018,7,15,1,3,5,2,0,1,1,0,0,0,0,0,609783.0604,5970380.6427,40
10.73973030111,53.8505632383938,5812,1,0,3,0,2018,7,19,1,3,5,3,0,1,1,0,0,0,0,0,614441.227,5968298.604,40
10.7397110354104,53.8716405613008,5821,1,0,3,0,2018,9,13,4,3,2,2,0,0,1,0,0,0,0,0,614382.447,5970643.263,40
10.6579127397392,53.8421801598957,5841,1,0,3,0,2018,7,11,6,3,2,6,0,0,1,0,0,1,0,0,609081.4464,5967237.1584,40
10.6692148673932,53.870455942648,5843,1,0,3,0,2018,8,7,6,3,5,2,0,1,1,0,0,0,0,0,609750.9771,5970400.0901,40
10.8543393236097,53.9576983223168,5845,1,0,3,0,2018,8,7,6,3,5,3,0,0,1,0,1,0,0,0,621667.774,5980407.386,40
10.6501974843115,53.8743406387454,5859,1,0,3,0,2018,9,6,2,3,2,6,0,0,1,0,0,0,1,0,608490.6329,5970802.9789,40
10.6703839929985,53.8031583777771,5886,1,0,3,0,2018,7,22,3,3,8,6,2,0,1,0,0,0,0,0,610004.0973,5962915.5093,40
10.7108933156983,53.8615566831498,5893,1,0,3,0,2018,9,14,2,3,2,6,0,0,1,0,0,0,0,0,612514.975,5969475.411,40
10.7212497407903,53.8247597799336,5896,1,0,3,0,2018,8,9,7,3,5,3,0,1,0,0,0,0,0,0,613295.3089,5965398.5152,40
10.6546025215523,53.8642509999215,5907,1,0,3,0,2018,7,9,2,3,5,2,0,1,1,0,0,0,0,0,608806.4,5969687.3153,40
10.6800687435693,53.8431528438595,5914,1,0,3,0,2018,8,18,5,3,5,3,0,1,1,0,0,0,0,0,610536.5,5967379.654,40
10.6975669329625,53.8550744177805,5932,1,0,3,0,2018,8,14,4,3,5,2,0,1,1,0,0,0,0,0,611655.9173,5968733.2477,40
10.6591928402311,53.8737190231518,5945,1,0,3,0,2018,8,11,1,3,5,3,0,0,1,0,1,0,0,0,609083.5916,5970747.626,40
10.6232709280639,53.8630617277062,5954,1,0,3,0,2018,7,11,1,3,2,6,0,0,1,0,0,0,0,0,606749.2365,5969507.4081,40
10.6569204743701,53.8426287013598,5996,1,0,3,0,2018,8,11,2,3,3,6,0,0,1,0,1,0,0,0,609015.001,5967285.5306,40
10.7494102066358,53.846526733302,6021,1,0,3,0,2018,11,18,7,3,0,7,2,1,0,1,0,0,0,1,615088.995,5967865.2344,40
10.6896784673394,53.8514735334154,6038,1,0,3,0,2018,12,11,2,3,3,6,0,0,1,0,0,1,0,1,611146.6484,5968320.2867,40
10.6848071190193,53.8473621492935,6054,1,0,3,0,2018,11,14,2,3,2,6,0,0,1,0,0,0,0,0,610837.1031,5967855.3025,40
